"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","241.00","241.25","243.00","239.01","431.87K","0.10%"
"10/10/2024","240.75","241.04","244.00","240.75","566.68K","-0.21%"
"10/09/2024","241.25","241.00","243.95","239.00","838.24K","-0.08%"
"10/08/2024","241.44","239.74","242.24","239.74","1.24M","0.61%"
"10/07/2024","239.98","237.00","241.50","237.00","776.32K","1.47%"
"10/04/2024","236.50","230.00","237.25","230.00","1.54M","2.60%"
"10/03/2024","230.50","228.75","232.00","227.00","494.21K","0.66%"
"10/02/2024","228.99","227.39","229.99","226.00","245.75K","0.54%"
"10/01/2024","227.75","228.15","229.00","225.00","234.92K","-0.76%"
"09/30/2024","229.50","232.00","232.80","208.43","285.91K","-1.07%"
"09/27/2024","231.98","234.00","234.00","230.15","138.14K","-1.24%"
"09/26/2024","234.90","236.00","237.01","232.00","301.12K","-0.03%"
"09/25/2024","234.98","233.00","236.01","232.00","2.48M","0.85%"
"09/24/2024","233.00","235.00","235.97","227.86","623.78K","-0.55%"
"09/23/2024","234.30","236.03","237.25","231.95","328.34K","-0.30%"
"09/20/2024","235.00","226.90","237.00","226.89","2.09M","4.26%"
"09/19/2024","225.40","218.00","227.45","217.81","1.58M","4.11%"
"09/18/2024","216.50","212.64","218.99","212.64","1.36M","1.17%"
"09/16/2024","214.00","214.98","218.00","212.00","456.98K","-0.69%"
"09/13/2024","215.49","220.00","220.00","213.33","585.44K","-0.34%"
"09/12/2024","216.23","216.90","218.00","215.91","384.28K","0.01%"
"09/11/2024","216.20","221.50","224.00","215.63","465.65K","-2.19%"
"09/10/2024","221.03","221.00","221.80","217.78","914.73K","0.58%"
"09/09/2024","219.75","221.99","223.47","218.22","478.44K","-1.01%"
"09/06/2024","222.00","224.46","225.50","220.50","637.18K","-0.85%"
"09/05/2024","223.90","226.00","227.00","223.01","433.16K","-0.58%"
"09/04/2024","225.20","230.50","230.50","224.98","377.52K","-1.44%"
"09/03/2024","228.50","231.00","236.00","227.50","1.02M","-1.08%"
"09/02/2024","231.00","236.89","236.89","230.10","457.05K","-1.70%"
"08/30/2024","235.00","235.90","237.70","234.50","315.75K","-0.55%"
"08/29/2024","236.31","239.99","239.99","236.30","1.00M","-1.13%"
"08/28/2024","239.01","240.00","240.49","237.65","273.24K","-0.49%"
"08/27/2024","240.19","240.25","240.74","239.50","162.38K","-0.02%"
"08/26/2024","240.25","240.98","241.45","239.00","255.55K","-0.27%"
"08/23/2024","240.90","240.00","241.37","240.00","592.64K","0.35%"
"08/22/2024","240.05","241.92","242.47","240.00","103.79K","-0.44%"
"08/21/2024","241.11","243.00","243.00","241.00","706.61K","-0.34%"
"08/20/2024","241.93","242.00","244.00","241.20","439.07K","0.00%"
"08/19/2024","241.93","242.00","245.90","237.55","2.11M","-2.64%"
"08/16/2024","248.50","241.60","249.49","241.60","3.13M","2.69%"
"08/15/2024","242.00","239.50","242.30","238.50","609.83K","1.04%"
"08/13/2024","239.50","242.00","242.00","238.15","303.84K","-0.78%"
"08/12/2024","241.39","247.89","248.00","240.85","308.31K","-1.67%"
"08/09/2024","245.50","241.96","248.44","240.36","845.90K","1.47%"
"08/08/2024","241.94","242.00","242.95","240.00","1.08M","-0.02%"
"08/07/2024","242.00","241.21","242.28","240.01","587.59K","0.84%"
"08/06/2024","239.99","238.50","241.90","237.90","1.15M","0.83%"
"08/05/2024","238.01","240.50","240.90","236.70","899.17K","-0.97%"
"08/02/2024","240.35","239.00","240.50","238.99","218.84K","0.26%"
"08/01/2024","239.73","238.00","240.76","238.00","244.45K","0.68%"
"07/31/2024","238.10","238.10","241.90","238.00","308.11K","-0.17%"
"07/30/2024","238.50","239.60","239.60","236.00","348.34K","0.25%"
"07/29/2024","237.90","238.00","239.20","237.00","436.32K","0.40%"
"07/26/2024","236.95","239.01","240.40","235.60","599.19K","-0.86%"
"07/25/2024","239.00","244.80","244.80","239.00","381.00K","-1.85%"
"07/24/2024","243.50","239.90","244.00","236.00","1.50M","2.40%"
"07/23/2024","237.80","236.00","239.90","236.00","784.00K","0.76%"
"07/22/2024","236.00","238.90","242.48","235.00","3.42M","-1.46%"
"07/19/2024","239.50","241.99","241.99","237.50","1.33M","-0.17%"
"07/18/2024","239.90","238.49","242.25","236.75","1.40M","1.14%"
"07/15/2024","237.20","240.50","242.50","236.00","1.60M","-0.13%"
"07/12/2024","237.50","236.00","238.70","230.00","995.73K","0.21%"
"07/11/2024","237.00","237.50","237.99","236.00","591.81K","-0.42%"
"07/10/2024","238.00","239.00","239.80","237.05","569.04K","-0.31%"
"07/09/2024","238.75","240.00","241.79","237.99","1.66M","-0.31%"
